GeneGroup,estimate,estimate1,estimate2,statistic,p.value,parameter,conf.low,conf.high,method,alternative
ARG,-4.8,77,81.8,-0.222268959660323,0.828799979347705,9.52013047002745,-53.2484749783538,43.6484749783538,Welch Two Sample t-test,two.sided
AsRG,-4.42857142857143,121.571428571429,126,-0.279334073822063,0.786712903342706,8.43896478647677,-40.6596503862554,31.8025075291125,Welch Two Sample t-test,two.sided
rplB,4.25714285714287,171.857142857143,167.6,0.151277403466755,0.883864330512042,7.27928900590731,-61.7723765564344,70.2866622707201,Welch Two Sample t-test,two.sided
