Name	"node.degree"	"node.betw"	"node.stress"	"node.evcent"	"Clustering.Coefficient"	No. module	Zi	Pi
rplB_0039	21	1192.86654959389	10330	0.0142608275082007	0.314285714285714	0	0.239209192412578	0.090702947845805
rplB_0044	3	0.442813436029097	10	0.000884787032895541	0.666666666666667	0	-0.805867331781534	0
rplB_0045	19	6.38728486988678	410	0.0320353082756897	0.906432748538012	3	-0.406280264699127	0.476454293628809
rplB_0050	4	0.881370060084049	20	0.00307887101009962	0.833333333333333	0	-0.744392242123057	0
rplB_0058	3	1.04285714285714	8	0.000663008455322039	0.666666666666667	0	-0.805867331781534	0
rplB_0062	5	0	0	0.00484164808394697	1	0	-0.68291715246458	0
rplB_0070	2	0	0	0.00233488284720799	1	0	-0.867342421440011	0
rplB_0084	11	8.69641354301823	321	0.0149466249924455	0.745454545454545	0	-0.375541704172194	0.165289256198347
rplB_0085	22	56.3930109214533	866	0.00981039421904029	0.701298701298701	0	0.362159371729532	0
rplB_0091	47	623.779444873878	9991	0.0934063660071696	0.422756706753006	3	1.10591697430185	0.553191489361702
rplB_0092	1	0	0	0.0010953884846497	0	1	-1.2909461623892	0
rplB_0101	69	575.241420435938	14913	0.116990415439104	0.312446717817562	1	2.15729541422514	0.598613736609956
rplB_0102	23	469.798168895802	6423	0.0189081625656033	0.351778656126482	0	0.300684282071055	0.158790170132325
rplB_0104	63	3547.64266641257	54614	0.0871888298609638	0.178187403993856	1	0.81631257887512	0.703955656336609
rplB_0105	31	428.092914266613	9161	0.0117352209726092	0.389247311827957	0	0.915435178655826	0
rplB_0106	51	195.730398668724	7339	0.114928448078422	0.482352941176471	3	1.29494162917697	0.559784698193003
rplB_0108	3	0	0	0.00112324431175851	1	0	-0.805867331781534	0
rplB_0110	28	1219.96056260677	12509	0.0162015584092162	0.182539682539683	0	0.731009909680395	0
rplB_0112	15	10.6660103940254	515	0.023236380273608	0.8	2	-1.39547876818674	0.693333333333333
rplB_0113	75	6084.80810549458	66027	0.0559251076491266	0.129009009009009	0	2.51378750977623	0.392177777777778
rplB_0119	133	16626.2800828247	140232	0.088489989356632	0.0618591934381408	0	5.21869145474923	0.40036180677257
rplB_0121	27	489.432263529873	7112	0.0376466141952358	0.290598290598291	0	0.0547839234371463	0.545953360768176
rplB_0126	3	1.7581715589234	49	0.00133272230237241	0.666666666666667	0	-0.805867331781534	0
rplB_0142	14	9.98263841928987	326	0.0115567256396806	0.813186813186813	0	-0.129641345538285	0
rplB_0147	38	845.693208146831	13563	0.0280929690161106	0.361308677098151	0	1.09986044763126	0.192520775623269
rplB_0148	6	10.5327672600883	205	0.00291890184373833	0.333333333333333	0	-0.621442062806102	0
rplB_0149	72	3505.42762799346	42840	0.112265777214037	0.250782472613459	2	0.313437613948193	0.718364197530864
rplB_0151	21	2.46970161654513	157	0.0394560253121883	0.914285714285714	1	0.0500366729608217	0.430839002267574
rplB_0152	45	634.270470697536	9652	0.0268968775783498	0.360606060606061	0	1.77608643387451	0
rplB_0154	30	425.517714210784	5461	0.0148297260020061	0.393103448275862	0	0.853960088997349	0
rplB_0165	21	2.46970161654513	157	0.0394560253121883	0.914285714285714	1	0.0500366729608217	0.430839002267574
rplB_0167	55	2438.29981771703	28121	0.0322875716918881	0.114478114478114	0	2.02198679250842	0.197685950413223
rplB_0170	12	20.8420272314657	815	0.00893916264822717	0.742424242424242	0	-0.252591524855239	0
rplB_0171	14	5.59088694911171	242	0.0117703335885011	0.857142857142857	0	-0.129641345538285	0
rplB_0176	3	0	0	0.0011536738529567	1	0	-0.805867331781534	0
rplB_0179	87	4038.46885008361	48876	0.120250991957461	0.196738839882384	1	2.92357132013944	0.638657682652926
rplB_0183	18	558.52200233218	5907	0.0207861151185704	0.34640522875817	0	-0.252591524855239	0.475308641975309
rplB_0185	37	202.168680174495	4967	0.0614810066172126	0.460960960960961	1	0.720528090635832	0.572680788897005
rplB_0186	13	157.295675685359	1645	0.0116197297061689	0.282051282051282	0	-0.191116435196762	0
rplB_0187	26	121.672085541578	2331	0.0159333203735331	0.387692307692308	0	0.608059730363441	0
rplB_0189	14	21.9684796636245	200	0.0276411510830538	0.516483516483517	2	-1.21559283322517	0.581632653061225
rplB_0193	8	3.39004197302388	112	0.00505461714694617	0.75	0	-0.498491883489148	0
rplB_0200	14	0.873855255145522	45	0.00608690364827118	0.945054945054945	0	-0.129641345538285	0
rplB_0204	20	64.4986201328542	1410	0.0323320828839525	0.605263157894737	1	-0.524670256474902	0.695
rplB_0206	2	2.76988588457319	41	0.00329628167068301	0	0	-0.928817511098488	0.5
rplB_0214	7	3.17933401840222	144	0.0168855738260488	0.761904761904762	1	-0.907808209432051	0.408163265306122
rplB_0237	67	740.956725908252	15431	0.111938076461476	0.270465852555405	2	1.5726391586792	0.578748050790822
rplB_0238	95	6561.79602487515	86284	0.096148407611903	0.12989921612542	0	2.26788715114232	0.569529085872576
rplB_0243	22	9.14898418405407	431	0.0430657736577489	0.878787878787879	2	-0.406106125898094	0.367768595041322
rplB_0244	31	120.710735540011	3183	0.0548491649005678	0.488172043010753	3	0.349818354801363	0.505723204994797
rplB_0247	43	791.427998945172	15746	0.0716640632307315	0.297895902547065	3	0.538843009676485	0.636019469983775
rplB_0259	13	82.8674139326049	1670	0.0172869628319179	0.435897435897436	1	-1.19516167414991	0.710059171597633
rplB_0261	31	256.847305525417	6037	0.0266930327045145	0.511827956989247	0	0.853960088997349	0.0624349635796044
rplB_0262	4	0.139512323429288	14	0.00885613123303578	0.833333333333333	1	-1.2909461623892	0.625
rplB_0264	16	4.31707999882884	167	0.0294544242917649	0.766666666666667	2	-1.21559283322517	0.6171875
rplB_0266	26	430.139320466447	5512	0.026840814478065	0.329230769230769	0	0.116259013095623	0.461538461538462
rplB_0267	4	1.58253192666862	106	0.00624488890608766	0.666666666666667	0	-0.744392242123057	0
rplB_0270	38	1338.74533945646	14508	0.0248025421869427	0.238975817923186	0	1.28428571660669	0.0512465373961217
rplB_0274	12	3.86371315411516	198	0.0130762346778604	0.878787878787879	0	-0.252591524855239	0
rplB_0276	10	2.82380016311191	118	0.00690045880156922	0.822222222222222	0	-0.375541704172194	0
rplB_0284	48	717.494081051969	13997	0.090043660775544	0.447695035460993	2	0.853095418832909	0.522569444444444
rplB_0286	11	7.2504414290491	242	0.00991244163719782	0.8	0	-0.314066614513717	0
