	OTU_01	OTU_02	OTU_03	OTU_04	OTU_05	OTU_06	OTU_07	OTU_08	OTU_09	OTU_10	OTU_11	OTU_12	OTU_13	OTU_14	OTU_15	OTU_16	OTU_17	OTU_18	OTU_19	OTU_20	OTU_21 
cen04	0	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
cen05	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cen15	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
cen07	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
cen16	5	0	0	3	0	0	0	0	1	7	0	0	0	0	0	0	0	2	21	3	0
cen10	0	0	0	0	0	7	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
cen01	0	2	8	1	2	0	0	3	0	0	3	2	0	0	2	2	0	0	0	0	0
cen14	4	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
cen03	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	6
cen12	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
