,Cen04,Cen05,Cen15,Cen07,Cen16,Cen10,Cen01,Cen14,Cen03,Cen12
OTU_0001,0,0,0,0,0.00132555673382821,0,0,0.00211528291909043,0,0
OTU_0002,0.00232828870779977,0.00392541707556428,0,0,0,0,0.00191938579654511,0,0,0
OTU_0003,0.00232828870779977,0,0,0,0,0,0.00767754318618042,0,0,0
OTU_0004,0,0,0,0,0.000795334040296925,0,0.000959692898272553,0,0,0
OTU_0005,0,0.00098135426889107,0,0,0,0,0.00191938579654511,0,0,0
OTU_0006,0,0,0,0,0,0.00236726411903957,0,0,0,0
OTU_0007,0,0,0,0,0,0,0,0,0.00670578373847443,0
OTU_0008,0,0,0,0,0,0,0.00287907869481766,0,0,0
OTU_0009,0.00232828870779977,0,0,0,0.000265111346765642,0,0,0,0,0
OTU_0010,0,0,0.00190961171228517,0,0.00185577942735949,0,0,0.00370174510840825,0,0.000917852225791648
OTU_0011,0,0,0,0,0,0,0.00287907869481766,0,0,0
OTU_0012,0,0,0,0,0,0,0.00191938579654511,0,0,0
OTU_0013,0,0,0,0,0,0.000676361176868448,0,0,0,0
OTU_0014,0,0,0,0.00495049504950495,0,0,0,0,0,0
OTU_0015,0,0,0,0,0,0,0.00191938579654511,0,0,0
OTU_0016,0,0,0,0,0,0,0.00191938579654511,0,0,0
OTU_0017,0,0,0,0,0,0.000338180588434224,0,0,0,0
OTU_0018,0,0,0,0,0.000530222693531283,0,0,0,0,0
OTU_0019,0,0,0,0,0.00556733828207847,0,0,0,0,0
OTU_0020,0,0,0,0,0.000795334040296925,0,0,0,0,0
OTU_0021,0,0,0,0,0,0,0,0,0.00502933780385583,0
