LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
318,OTU_0302 
319, OTU_0303 
320,OTU_0343 
321,OTU_0342 
322,OTU_0341 
323,OTU_0340 
324,OTU_0339 
325,OTU_0338 
326,OTU_0337 
327,OTU_0336 
328,OTU_0351 
329,OTU_0350 
330, OTU_0349 
331,OTU_0348 
332,OTU_0347 
333,OTU_0346 
334,OTU_0345 
335,OTU_0344 
336,OTU_0326 
337,OTU_0327 
338,OTU_0324 
339,OTU_0325 
340,OTU_0322 
341,OTU_0323 
342,OTU_0320 
343,OTU_0321 
344,OTU_0334 
345,OTU_0335 
346,OTU_0332 
347,OTU_0333 
348,OTU_0330 
349,OTU_0331 
350,OTU_0328 
351,OTU_0329 
352,OTU_0373 
353,OTU_0372 
354,OTU_0375 
355,OTU_0374 
356,OTU_0369 
357,OTU_0368 
358,OTU_0371 
359,OTU_0370 
360,OTU_0381 
361,OTU_0380 
362,OTU_0383 
363,OTU_0382 
364,OTU_0377 
365,OTU_0376 
366,OTU_0379 
367,OTU_0378 
368,OTU_0356 
369,OTU_0357 
370,OTU_0358 
371,OTU_0359 
372,OTU_0352 
373,OTU_0353 
374,OTU_0354 
375,OTU_0355 
376,OTU_0364 
377,OTU_0365 
378,OTU_0366 
379,OTU_0367 
380,OTU_0360 
381,OTU_0361 
382,OTU_0362 
383,OTU_0363 
384,OTU_0410 
385,OTU_0411 
386,OTU_0408 
387,OTU_0409 
388,OTU_0414 
389,OTU_0415 
390,OTU_0412 
391,OTU_0413 
392,OTU_0402 
393,OTU_0403 
394,OTU_0400 
395,OTU_0401 
396,OTU_0406 
397,OTU_0407 
398,OTU_0404 
399,OTU_0405 
400,OTU_0395 
401,OTU_0394 
402,OTU_0393 
403,OTU_0392 
404,OTU_0399 
405,OTU_0398 
406,OTU_0397 
407,OTU_0396 
408,OTU_0387 
409,OTU_0386 
410,OTU_0385 
411,OTU_0384 
412,OTU_0391 
413, OTU_0390 
414,OTU_0389 
415,OTU_0388 
416,OTU_0440 
417,OTU_0441 
418,OTU_0442 
419,OTU_0443 
420,OTU_0444 
421,OTU_0445 
422,OTU_0446 
423,OTU_0447 
424,OTU_0432 
425,OTU_0433 
426,OTU_0434 
427,OTU_0435 
428,OTU_0436 
429,OTU_0437 
430,OTU_0438 
431,OTU_0439 
432,OTU_0425 
433,OTU_0424 
434,OTU_0427 
435,OTU_0426 
436,OTU_0429 
437,OTU_0428 
438,OTU_0431 
439,OTU_0430 
440,OTU_0417 
441,OTU_0416 
442,OTU_0419 
443,OTU_0418 
444,OTU_0421 
445,OTU_0420 
446,OTU_0423 
447,OTU_0422 
448,OTU_0478 
449,OTU_0479 
450,OTU_0476 
451,OTU_0477 
452,OTU_0474 
453,OTU_0475 
454,OTU_0472 
455,OTU_0473 
456,OTU_0470 
457,OTU_0471 
458,OTU_0468 
459,OTU_0469 
460,OTU_0466 
461,OTU_0467 
462,OTU_0464 
463,OTU_0465 
464,OTU_0463 
465,OTU_0462 
466,OTU_0461 
467,OTU_0460 
468,OTU_0459 
469,OTU_0458 
470,OTU_0457 
471,OTU_0456 
472,OTU_0455 
473,OTU_0454 
474,OTU_0453 
475,OTU_0452 
476,OTU_0451 
477,OTU_0450 
478,OTU_0449 
479,OTU_0448 
480,OTU_0508 
481,OTU_0509 
482,OTU_0510 
483,OTU_0511 
484,OTU_0504 
485,OTU_0505 
486,OTU_0506 
487,OTU_0507 
488,OTU_0500 
489,OTU_0501 
490,OTU_0502 
491,OTU_0503 
492,OTU_0496 
493,OTU_0497 
494,OTU_0498 
495,OTU_0499 
496,OTU_0493 
497,OTU_0492 
498,OTU_0495 
499,OTU_0494 
500,OTU_0489 
501,OTU_0488 
502,OTU_0491 
503,OTU_0490 
504,OTU_0485 
505,OTU_0484 
506,OTU_0487 
507,OTU_0486 
508,OTU_0481 
509,OTU_0480 
510,OTU_0483 
511,OTU_0482 
512,OTU_0550 
513,OTU_0551 
514,OTU_0548 
515,OTU_0549 
516,OTU_0546 
517,OTU_0547 
518,OTU_0544 
519,OTU_0545 
520, OTU_0558 
521,OTU_0559 
522,OTU_0556 
523,OTU_0557 
524,OTU_0554 
525,OTU_0555 
526,OTU_0552 
527,OTU_0553 
528,OTU_0567 
529,OTU_0566 
530,OTU_0565 
531,OTU_0564 
532,OTU_0563 
533,OTU_0562 
534,OTU_0561 
535,OTU_0560 
536,OTU_0575 
537,OTU_0574 
538,OTU_0573 
539,OTU_0572 
540,OTU_0571 
541,OTU_0570 
542,OTU_0569 
543,OTU_0568 
544,OTU_0516 
545,OTU_0517 
546,OTU_0518 
547,OTU_0519 
548,OTU_0512 
549,OTU_0513 
550,OTU_0514 
551,OTU_0515 
552,OTU_0524 
553,OTU_0525 
554,OTU_0526 
555,OTU_0527 
556,OTU_0520 
557,OTU_0521 
558,OTU_0522 
559,OTU_0523 
560,OTU_0533 
561,OTU_0532 
562,OTU_0535 
563,OTU_0534 
564,OTU_0529 
565,OTU_0528 
566,OTU_0531 
567,OTU_0530 
568,OTU_0541 
569,OTU_0540 
570,OTU_0543 
571,OTU_0542 
572,OTU_0537 
573,OTU_0536 
574,OTU_0539 
575,OTU_0538 
576,OTU_0610 
577,OTU_0611 
578,OTU_0608 
579,OTU_0609 
580,OTU_0614 
581,OTU_0615 
582,OTU_0612 
583,OTU_0613 
584,OTU_0618 
585,OTU_0619 
586,OTU_0616 
587,OTU_0617 
588,OTU_0622 
589,OTU_0623 
590,OTU_0620 
591,OTU_0621 
592,OTU_0627 
593,OTU_0626 
594,OTU_0625 
595,OTU_0624 
596,OTU_0631 
597,OTU_0630 
598,OTU_0629 
599,OTU_0628 
600,OTU_0635 
601,OTU_0634 
602,OTU_0633 
603,OTU_0632 
604,OTU_0639 
605,OTU_0638 
606,OTU_0637 
607,OTU_0636 
608,OTU_0576 
609,OTU_0577 
610,OTU_0578 
611,OTU_0579 
612,OTU_0580 
613,OTU_0581 
614,OTU_0582 
615,OTU_0583 
616,OTU_0584 
617,OTU_0585 
618,OTU_0586 
619,OTU_0587 
620,OTU_0588 
621,OTU_0589 
622,OTU_0590 
623,OTU_0591 
624,OTU_0593 
625,OTU_0592 
626,OTU_0595 
627,OTU_0594 
628,OTU_0597 
629,OTU_0596 
630,OTU_0599 
631,OTU_0598 
632,OTU_0601 
633,OTU_0600 
634,OTU_0603 
635,OTU_0602 
636,OTU_0605 
637,OTU_0604 
638,OTU_0607 
639,OTU_0606 
640,OTU_0653 
641,OTU_0652 
642,OTU_0655 
643, OTU_0654 
644,OTU_0649 
645, OTU_0648 
646,OTU_0651 
647, OTU_0650 
648,OTU_0645 
649,OTU_0644 
650,OTU_0647 
651,OTU_0646 
652,OTU_0641 
653,OTU_0640 
654,OTU_0643 
655,OTU_0642 
656,OTU_0656 
657,OTU_0657 
658, BAD77819.1 
659, NP_775043.1 
660, AAT45231.1 
661, ROOT_AAK61182.1_dfra1 
662, ROOT_AAN28000.1_dfra1 
663, AEI30192.1 
664, AEI30198.1 
665, AEI30205.1 
666, AHK17042.1 
667, AIA10614.1 
668, AIA10676.1 
669, AIA10824.1 
670, AIA11135.1 
671, AIA11214.1 
672, AIA11216.1 
673, AIA11811.1 
674, AIA11989.1 
675, AIA12458.1 
676, AIA12733.1 
677, AIA13159.1 
678, AIA13317.1 
679, AIA13345.1 
680, AIA14136.1 
681, AIA14286.1 
682, AIA14333.1 
683, AIA14776.1 
684, AIA14879.1 
685, AIA14953.1 
686, AIA15014.1 
687, AIA15140.1 
688, AIA15209.1 
689, AIA15222.1 
690, AIA15430.1 
691, AIA15622.1 
692, AIA15636.1 
693, AIA15685.1 
694, AIA15709.1 
695, AIA15797.1 
696, AIA15938.1 
697, AIA16002.1 
698, AIA16139.1 
699, AIA16192.1 
700, AIA16466.1 
701, AIA16498.1 
702, AIA16770.1 
703, AIA16801.1 
704, AIA16836.1 
705, AIA16920.1 
706, AIA17026.1 
707, AIA17028.1 
708, AIA17076.1 
709, AIA17129.1 
710, AIA17149.1 
711, AIA17179.1 
712, AIA17260.1 
713, AIA17525.1 
714, AIA17570.1 
715, AIA17676.1 
716, AIA17702.1 
717, AIA17716.1 
718, AIA17737.1 
719, AIA17897.1 
720, AIA17917.1 
721, AIA17930.1 
722, AIA17994.1 
723, AIA18145.1 
724, AIA18419.1 
725, AIA18465.1 
726, AIA18613.1 
727, AIA18629.1 
728, AIA18697.1 
729, AIA18700.1 
730, AIA18763.1 
731, AIA18815.1 
732, AIA18819.1 
733, AIA18837.1 
734, AIA18861.1 
735, AIA18904.1 
736, AIA18994.1 
737, AIA19052.1 
738, AIA19126.1 
739, AIA19201.1 
740, AIT80308.1 
741, AKU94625.1 
742, ALG03732.1 
743, AOH37318.1 
744, AOV18406.1 
745, BAK36891.1 
746, BAT59351.1 
747, CAF33983.1 
748, EGM68985.1 
749, EKD55112.1 
750, EKD70031.1 
751, EKD72330.1 
752, EKD75763.1 
753, ESQ11627.1 
754, GAB56739.1 
755, GAO54168.1 
756, KKO44927.1 
757, KKQ45408.1 
758, KKQ66012.1 
759, KKS41985.1 
760, KKW41339.1 
761, KND54951.1 
762, KPK20670.1 
763, KPK54346.1 
764, KRP20137.1 
765, KRP37105.1 
766, KTG58642.1 
767, OAI42584.1 
768, OAI49215.1 
769, ODT62441.1 
770, ODU39436.1 
771, OFA32561.1 
772, OFZ00407.1 
773, OFZ71595.1 
774, OFZ86614.1 
775, OFZ99288.1 
776, OGA06087.1 
777, OGA13429.1 
778, OGA14942.1 
779, OGA72652.1 
780, OGE25782.1 
781, OGH17266.1 
782, OGH19426.1 
783, OGI42719.1 
784, OGK37971.1 
785, OGM14487.1 
786, OGM20163.1 
787, OGM31602.1 
788, OGP09580.1 
789, OGQ88340.1 
790, OGS95554.1 
791, OGT27092.1 
792, OGT55324.1 
793, OGT69302.1 
794, OGY25761.1 
795, OGY91034.1 
796, OHA46286.1 
797, OHA90569.1 
798, OHB18545.1 
799, OHB37231.1 
800, OHC74612.1 
801, OJJ19409.1 
802, OJU27831.1 
803, OJU55337.1 
804, OJU55764.1 
805, OJV48694.1 
806, OJW96203.1 
807, OJX17037.1 
808, OJY03038.1 
809, OJY89245.1 
810, OLB13770.1 
811, OLC21500.1 
812, OLE19841.1 
813, OQY69871.1 
814, ORU90598.1 
815, OUS10577.1 
816, OUT65032.1 
817, OUU17129.1 
818, OUX69314.1 
819,OXH83867.1 
820, OYU49486.1 
821, OYU86999.1 
822, OYV16127.1 
823, OYV35981.1 
824, OYW94456.1 
825, OYZ03231.1 
826, SCK06145.1 
827, SDS86698.1 
828, SFB80077.1 
829, SFC53140.1 
830, SJM96169.1 
831, WP_003564837.1 
832, WP_004115905.1 
833, WP_006980708.1 
834, WP_007165628.1 
835, WP_007185903.1 
836, WP_007347806.1 
837, WP_007416017.1 
838, WP_008170691.1 
839, WP_009337088.1 
840, WP_009468849.1 
841, WP_009471950.1 
842, WP_009757666.1 
843, WP_010833322.1 
844, WP_011159032.1 
845, WP_011233739.1 
846, WP_011628173.1 
847, WP_011760932.1 
848, WP_012521379.1 
849, WP_013043070.1 
850, WP_013156649.1 
851, WP_015665163.1 
852, WP_015879438.1 
853, WP_017365510.1 
854, WP_017774619.1 
855, WP_018467535.1 
856, WP_018665156.1 
857, WP_019675071.1 
858, WP_020176938.1 
859, WP_020471091.1 
860, WP_022700042.1 
861, WP_022975652.1 
862, WP_023574631.1 
863, WP_024003331.1 
864, WP_024588665.1 
865, WP_025139403.1 
866, WP_026563830.1 
867, WP_026605988.1 
868, WP_026677866.1 
869, WP_027198398.1 
870, WP_027524428.1 
871, WP_027804038.1 
872, WP_027855580.1 
873, WP_027877562.1 
874, WP_028112849.1 
875, WP_028199253.1 
876, WP_028396482.1 
877, WP_028399654.1 
878, WP_028500179.1 
879, WP_028969207.1 
880, WP_029078838.1 
881, WP_029587442.1 
882, WP_031434273.1 
883, WP_033410395.1 
884, WP_034160590.1 
885, WP_034626623.1 
886, WP_034641207.1 
887, WP_035055540.1 
888, WP_035342808.1 
889, WP_036169160.1 
890, WP_036187899.1 
891, WP_036257829.1 
892, WP_037443299.1 
893, WP_038090827.1 
894, WP_039722463.1 
895, WP_040047716.1 
896, WP_040051361.1 
897, WP_040521106.1 
898, WP_040610218.1 
899, WP_042147413.1 
900, WP_042658404.1 
901, WP_043949547.1 
902, WP_044196769.1 
903, WP_044387296.1 
904, WP_047144188.1 
905, WP_047455598.1 
906, WP_048548090.1 
907, WP_048646438.1 
908, WP_050659144.1 
909, WP_051382667.1 
910, WP_053476689.1 
911, WP_054036133.1 
912, WP_054162902.1 
913, WP_054772789.1 
914, WP_055024324.1 
915, WP_056050204.1 
916, WP_056137998.1 
917, WP_056537866.1 
918, WP_056767254.1 
919, WP_056910266.1 
920, WP_057377145.1 
921, WP_057747244.1 
922, WP_057850715.1 
923, WP_057859628.1 
924, WP_057912727.1 
925, WP_058404497.1 
926, WP_058575626.1 
927, WP_062127923.1 
928, WP_063331496.1 
929, WP_063496888.1 
930, WP_063844403.1 
931, WP_064049537.1 
932, WP_064268497.1 
933, WP_066368294.1 
934, WP_066919624.1 
935, WP_068026643.1 
936, WP_068282217.1 
937, WP_068398566.1 
938, WP_068637554.1 
939, WP_068755648.1 
940, WP_069262610.1 
941, WP_070077562.1 
942, WP_070357515.1 
943, WP_070985691.1 
944, WP_072340001.1 
945, WP_072427603.1 
946, WP_072820794.1 
947, WP_073567847.1 
948, WP_074274071.1 
949, WP_074301936.1 
950, WP_074633443.1 
951, WP_075007554.1 
952, WP_075190405.1 
953, WP_076577256.1 
954, WP_076757609.1 
955, WP_077500107.1 
956, WP_077618507.1 
957, WP_078012762.1 
958, WP_078039420.1 
959, WP_078579283.1 
960, WP_079538113.1 
961, WP_082905917.1 
962, WP_082925162.1 
963, WP_083531189.1 
964, WP_083561314.1 
965, WP_083653327.1 
966, WP_084201038.1 
967, WP_084617766.1 
968, WP_084805117.1 
969, WP_085298882.1 
970, WP_086091421.1 
971, WP_087507108.1 
972, WP_087610656.1 
973, WP_087624790.1 
974, WP_089084074.1 
975, WP_090235352.1 
976, WP_090333562.1 
977, WP_090529078.1 
978, WP_090631237.1 
979, WP_090649863.1 
980, WP_090696169.1 
981, WP_090877384.1 
982, WP_090907222.1 
983, WP_090947776.1 
984, WP_091111759.1 
985, WP_091136625.1 
986, WP_091441570.1 
987, WP_091532062.1 
988, WP_091741700.1 
989, WP_091769877.1 
990, WP_091774634.1 
991, WP_092026377.1 
992, WP_092350727.1 
993, WP_093222734.1 
994, WP_093760370.1 
995, WP_093807474.1 
996, WP_094710014.1 
997, WP_094839813.1 
998, WP_094977421.1 
