,Cen04,Cen17
OTU_0001,0.00814901047729918,0
OTU_0002,0.00232828870779977,0
OTU_0003,0,0.00171526586620926
OTU_0004,0.00349243306169965,0
OTU_0005,0.00116414435389988,0
OTU_0006,0.00116414435389988,0
OTU_0007,0.00116414435389988,0
