DATASET_MULTIBAR
SEPARATOR COMMA
DATASET_LABEL, abundance

#define colors for each individual field column (use hexadecimal, RGB or RGBA notation; if using RGB/RGBA, COMMA cannot be used as SEPARATOR)
FIELD_COLORS,#FFFF00,#008000,#FFFF00,#FF0000,#FF0000,#FFFF00,#FF0000,#FF0000,#FFFF00,#FF0000,#FF0000,#FFFF00,#FF0000

#field labels
FIELD_LABELS,Cen04,Cen17,Cen05,Cen06,Cen15,Cen07,Cen16,Cen10,Cen01,Cen14,Cen13,Cen03,Cen12

#dataset scale: you can simply set the values where the scale will be drawn
DATASET_SCALE,0.00,0.001,0.002,0.01,0.03

#yellow #FFFF00
#green #008000
#red #FF0000
LEGEND_TITLE,Classification 
LEGEND_SHAPES,1,1,1
LEGEND_COLORS,#FF0000,#008000,#FFFF00
LEGEND_LABELS,Fire-affected,Recovered,Reference

DATA
OTU_0001,0,0,0,0,0.00381922342457034,0,0,0,0,0.00317292437863564,0,0,0.0018357044515833
OTU_0002,0.0279394644935972,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0003,0,0,0.00098135426889107,0,0,0,0,0,0,0,0,0,0
OTU_0004,0.00116414435389988,0,0,0,0,0,0,0,0,0,0,0,0.000917852225791648
OTU_0005,0.00232828870779977,0,0,0,0,0,0,0,0,0,0,0.00167644593461861,0
OTU_0006,0.0186263096623981,0,0.00294406280667321,0.00174064403829417,0,0,0,0,0,0,0,0,0
OTU_0007,0,0,0,0,0,0,0,0,0.00383877159309021,0,0,0,0
OTU_0008,0,0,0,0,0,0,0,0.00270544470747379,0,0,0,0,0
OTU_0009,0,0,0,0,0.00572883513685551,0,0.000265111346765642,0,0,0.00158646218931782,0,0,0.00550711335474988
OTU_0010,0,0,0,0,0,0,0.00477200424178155,0,0,0,0,0,0
OTU_0011,0,0,0,0,0,0,0,0,0,0.00158646218931782,0,0,0
OTU_0012,0,0,0,0,0,0,0,0.00405816706121069,0,0,0,0,0
OTU_0013,0,0,0,0,0,0,0.00159066808059385,0,0,0,0,0,0
OTU_0014,0,0,0,0,0,0,0,0.000338180588434224,0,0,0,0,0
OTU_0015,0,0,0,0,0.00445576066199873,0,0,0,0,0.00158646218931782,0,0,0.0169802661771455
OTU_0016,0,0,0,0,0,0,0,0,0,0,0.0035650623885918,0,0
OTU_0017,0,0,0,0,0,0.00396039603960396,0,0,0,0,0,0,0
OTU_0018,0.0069848661233993,0,0,0.00174064403829417,0,0.00297029702970297,0.00106044538706257,0,0,0.00528820729772607,0,0,0
OTU_0019,0.00931315483119907,0,0.00588812561334642,0,0,0,0,0,0.00671785028790787,0,0,0,0
OTU_0020,0,0,0.00098135426889107,0,0,0,0,0,0,0,0,0,0
OTU_0021,0,0,0,0,0,0,0.000530222693531283,0,0,0.00898995240613432,0,0,0
OTU_0022,0,0,0,0,0,0,0.00132555673382821,0,0,0,0,0,0
OTU_0023,0,0,0,0,0.0407383831954169,0.00396039603960396,0.00185577942735949,0.101115995941833,0,0.0867265996827076,0,0.00251466890192791,0.0660853602569986
OTU_0024,0.00349243306169965,0,0.00098135426889107,0,0,0,0,0,0,0,0,0,0
OTU_0025,0,0,0.0196270853778214,0,0,0,0,0,0,0,0,0,0
OTU_0026,0,0,0,0,0.0267345639719924,0,0.000530222693531283,0,0,0,0,0,0.0137677833868747
OTU_0027,0.0186263096623981,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0028,0,0,0,0,0,0,0,0,0,0,0,0.000838222967309304,0
OTU_0029,0,0,0,0,0,0,0.00344644750795334,0,0,0.00264410364886304,0.0129233511586453,0,0
OTU_0030,0,0,0,0,0,0,0,0.0852215082854244,0,0,0,0,0
OTU_0031,0,0,0.00883218842001963,0,0,0,0,0,0,0,0,0.000838222967309304,0
OTU_0032,0,0,0,0,0.00190961171228517,0,0,0,0,0.00211528291909043,0,0,0
OTU_0033,0,0,0,0,0,0,0,0,0,0,0.0017825311942959,0,0
OTU_0034,0.010477299185099,0,0.00392541707556428,0,0,0.00297029702970297,0.00132555673382821,0,0,0,0,0,0
OTU_0035,0,0,0,0,0,0,0.000265111346765642,0,0,0,0,0,0
OTU_0036,0,0,0.00294406280667321,0,0,0,0,0,0,0,0,0,0
OTU_0037,0.00232828870779977,0,0.00490677134445535,0,0,0,0,0,0,0,0,0,0
OTU_0038,0,0,0,0,0,0,0.00185577942735949,0,0,0,0,0,0
OTU_0039,0,0,0,0,0,0.00198019801980198,0,0,0,0,0,0,0
OTU_0040,0,0,0.00098135426889107,0,0,0,0,0,0,0,0,0,0
OTU_0041,0,0.00343053173241852,0,0,0,0,0,0,0,0,0,0,0.000458926112895824
OTU_0042,0,0,0.00196270853778214,0.00261096605744125,0,0,0,0,0.00287907869481766,0,0,0.00335289186923722,0
OTU_0043,0,0,0,0,0,0,0.0230646871686108,0,0,0,0,0,0
OTU_0044,0,0,0,0,0.0101845957988542,0,0,0,0,0,0,0,0.049564020192749
OTU_0045,0.00232828870779977,0,0.00294406280667321,0,0,0,0,0,0,0,0,0,0
OTU_0046,0,0,0,0,0,0,0,0,0,0.00105764145954521,0,0,0
OTU_0047,0,0,0,0,0.0178230426479949,0,0,0.0142035847142374,0,0.00211528291909043,0,0,0.0146856356126664
OTU_0048,0,0,0,0,0,0,0.0180275715800636,0,0,0,0,0,0
OTU_0049,0,0,0,0.00174064403829417,0,0,0.00132555673382821,0,0,0,0,0,0
OTU_0050,0,0,0,0.000870322019147084,0,0.00594059405940594,0,0,0,0,0,0.0284995808885163,0
OTU_0051,0.00116414435389988,0,0,0,0,0,0,0,0.04510556621881,0,0,0,0
OTU_0052,0,0,0,0,0,0,0,0,0.00191938579654511,0,0,0,0
OTU_0053,0,0,0,0,0,0,0.000530222693531283,0,0,0,0,0,0
OTU_0054,0,0,0.00196270853778214,0,0,0,0,0,0,0,0,0,0
OTU_0055,0,0,0,0,0,0,0.00662778366914104,0,0,0,0,0,0
OTU_0056,0,0,0,0,0,0,0.000795334040296925,0,0,0,0,0,0
OTU_0057,0.00232828870779977,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0058,0,0,0.0098135426889107,0,0,0,0,0,0.00383877159309021,0,0,0,0
OTU_0059,0,0,0,0,0.0547422024188415,0,0.0121951219512195,0.0328035170781197,0,0.0312004230565838,0,0,0.0293712712253327
OTU_0060,0,0,0,0,0.00827498408656906,0,0,0.00574907000338181,0,0.032258064516129,0,0,0.00229463056447912
OTU_0061,0,0,0,0,0,0,0,0,0,0,0.00401069518716578,0,0
OTU_0062,0.0151338766006985,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0063,0,0,0,0,0.0178230426479949,0,0.00106044538706257,0,0,0,0,0,0.0697567691601652
OTU_0064,0,0,0,0,0,0,0,0,0,0,0,0.00335289186923722,0
OTU_0065,0,0,0,0,0.00381922342457034,0,0,0,0,0,0,0,0.00275355667737494
OTU_0066,0,0,0,0,0,0,0,0,0,0.00317292437863564,0,0,0
OTU_0067,0.00814901047729918,0,0.00294406280667321,0,0,0,0,0,0,0,0,0.019279128248114,0
OTU_0068,0,0,0,0,0,0,0.00609756097560976,0,0,0,0,0,0
OTU_0069,0.00349243306169965,0.00686106346483705,0,0,0,0,0,0,0,0,0,0,0
OTU_0070,0,0,0,0,0,0,0.056203605514316,0,0,0,0,0,0
OTU_0071,0.00349243306169965,0,0.00098135426889107,0,0,0,0,0,0,0,0,0,0
OTU_0072,0,0,0,0.00783289817232376,0.0241884150222788,0.00792079207920792,0.00185577942735949,0,0,0,0,0,0.0491050940798531
OTU_0073,0,0,0.00490677134445535,0,0.0063653723742839,0,0.00477200424178155,0.00202908353060534,0,0,0,0,0.00688389169343736
OTU_0074,0,0,0,0,0,0,0,0.0480216435576598,0,0.00634584875727129,0,0,0.0178981184029371
OTU_0075,0,0,0,0,0,0,0.000795334040296925,0,0,0,0,0,0
OTU_0076,0.0069848661233993,0,0,0,0,0,0,0,0.00671785028790787,0,0,0.00670578373847443,0
OTU_0077,0,0,0,0,0,0,0,0,0.0105566218809981,0,0,0,0
OTU_0078,0,0,0,0,0,0.00792079207920792,0,0,0,0,0,0,0
OTU_0079,0.0162980209545984,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0080,0,0,0,0,0,0,0,0,0,0,0.00980392156862745,0,0
OTU_0081,0,0,0,0,0,0,0.000530222693531283,0.000338180588434224,0,0,0,0,0
OTU_0082,0.00582072176949942,0,0,0,0,0.00198019801980198,0,0,0,0,0,0,0
OTU_0083,0,0,0,0,0.0140038192234246,0,0,0,0,0,0,0,0
OTU_0084,0,0.00343053173241852,0,0,0,0,0,0,0,0,0,0,0
OTU_0085,0,0,0.00098135426889107,0,0,0,0,0,0,0,0,0,0
OTU_0086,0,0,0,0.0156657963446475,0,0,0,0,0,0,0,0.00251466890192791,0
OTU_0087,0,0,0,0,0,0,0.000530222693531283,0,0,0,0,0,0
OTU_0088,0,0,0,0,0,0,0,0,0,0,0,0.00167644593461861,0
OTU_0089,0.0116414435389988,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0090,0.00465657741559953,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0091,0.00582072176949942,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0092,0,0,0,0,0,0,0,0,0,0,0,0.000838222967309304,0
OTU_0093,0,0,0,0,0,0,0.00874867444326617,0,0,0,0,0,0
OTU_0094,0,0,0,0,0,0,0,0,0,0.00528820729772607,0,0,0
